title,authors,publisher,publishedDate,description,industryIdentifiers,readingModes,pageCount,printType,categories,maturityRating,allowAnonLogging,contentVersion,panelizationSummary,imageLinks,language,previewLink,infoLink,canonicalVolumeLink,averageRating,ratingsCount,subtitle,comicsContent,seriesInfo
The Ten Commandments,['Patrick D. Miller'],Presbyterian Publishing Corp,2009-01-01,"The Lord alone -- Hallowing the name of God -- Keeping the Sabbath -- Respect for parents -- Protecting life -- Marriage, sex, and the neighbor -- Property and possessions -- Telling the truth -- Desire and its repercussions -- The ethics of the commandments.","[{'type': 'ISBN_13', 'identifier': '9780664230555'}, {'type': 'ISBN_10', 'identifier': '0664230555'}]","{'text': False, 'image': True}",496.0,BOOK,['Religion'],NOT_MATURE,False,preview-1.0.0,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=DX-1XPmz4GMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=DX-1XPmz4GMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",en,http://books.google.nl/books?id=DX-1XPmz4GMC&printsec=frontcover&dq=intitle:THE+TEN+COMMANDMENTS&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=DX-1XPmz4GMC&dq=intitle:THE+TEN+COMMANDMENTS&hl=&source=gbs_api,https://books.google.com/books/about/The_Ten_Commandments.html?hl=&id=DX-1XPmz4GMC,,,,,
Finch's Fortune,['Mazo de la Roche'],Dundurn,2007-08-30,"First published in 1932, in Finch's Fortune, Finch Whiteoak celebrates his twenty-first birthday and comes into his inheritance from Grandmother Adeline. He generously takes his elderly uncles to England and lives for a time with his Aunt Augusta. While in England, Finch falls in and out of love with his cousin Sarah Court. He returns to Jalna, where the fortune left to him remains a bone of contention amongst other members of the Whiteoak family. This is book 9 of 16 in The Whiteoak Chronicles. It is followed by The Master of Jalna.","[{'type': 'ISBN_13', 'identifier': '9781554885329'}, {'type': 'ISBN_10', 'identifier': '1554885329'}]","{'text': True, 'image': True}",494.0,BOOK,['Fiction'],NOT_MATURE,False,0.32.21.0.preview.3,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=M8qxYu0st9cC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=M8qxYu0st9cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",en,http://books.google.nl/books?id=M8qxYu0st9cC&printsec=frontcover&dq=intitle:FINCHE%27S+FORTUNE&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=M8qxYu0st9cC&source=gbs_api,https://play.google.com/store/books/details?id=M8qxYu0st9cC,,,,,
The Good Earth,['Pearl S. Buck'],Open Road Media,2012-08-21,"The Pulitzer Prize–winning, New York Times–bestselling novel about a peasant farmer and his family in early twentieth-century China. The Good Earth is Buck’s classic story of Wang Lung, a Chinese peasant farmer, and his wife, O-lan, a former slave. With luck and hard work, the couple’s fortunes improve over the years: They have sons, and save steadily until one day they can afford to buy property in the House of Wang—the very house in which O-lan used to work. But success brings with it a new set of problems. Wang soon finds himself the target of jealousy, and as good harvests come and go, so does the social order. Will Wang’s family cherish the estate after he’s gone? And can his material success, the bedrock of his life, guarantee anything about his soul? Winner of the Pulitzer Prize and the William Dean Howells Award, The Good Earth was an Oprah’s Book Club choice in 2004. A readers’ favorite for generations, this powerful and beautifully written fable resonates with universal themes of hope and family unity. This ebook features an illustrated biography of Pearl S. Buck including rare images from the author’s estate.","[{'type': 'ISBN_13', 'identifier': '9781453263563'}, {'type': 'ISBN_10', 'identifier': '145326356X'}]","{'text': True, 'image': True}",445.0,BOOK,['Fiction'],NOT_MATURE,True,0.24.23.0.preview.3,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=L9rsk_f_UwEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=L9rsk_f_UwEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",en,http://books.google.nl/books?id=L9rsk_f_UwEC&printsec=frontcover&dq=intitle:THE+GOOD+EARTH&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=L9rsk_f_UwEC&source=gbs_api,https://play.google.com/store/books/details?id=L9rsk_f_UwEC,4.0,16.0,,,
Maid in Waiting,['John Galsworthy'],,1937,,"[{'type': 'OTHER', 'identifier': 'OCLC:249245306'}]","{'text': False, 'image': False}",384.0,BOOK,,NOT_MATURE,False,preview-1.0.0,"{'containsEpubBubbles': False, 'containsImageBubbles': False}",,en,http://books.google.nl/books?id=bFmjtAEACAAJ&dq=intitle:MAID+IN+WAITING&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=bFmjtAEACAAJ&dq=intitle:MAID+IN+WAITING&hl=&source=gbs_api,https://books.google.com/books/about/Maid_in_Waiting.html?hl=&id=bFmjtAEACAAJ,,,,,
Twee Opmerkelijke Mensen - Two Remarkable People: David & Erna Robinson,['Florita Robinson'],Xlibris Corporation,2021-11-09,"A story from Suriname as told and recorded gives an insight in the lives of David and Erna Robinson. David and Erna Robinson are the parents of nine biological children. These two remarkable people have been caregivers to many Youth of Suriname. They have treated and raised all as their own, with love, respect, and discipline. Now the young men and women have become successful members of society. See the accomplishments and contributions by Mr. and Mrs. Robinson to society. The hard work they have subjected themselves to be productive members of Suriname. Their way of life is a story worth to tell, an example to success in life. God was never out of the equation in their lives. They glorified God with their lives, by trying to live a life pleasing to Him. They tried to live life at high standards, by serving God. The story is about authority, respect, discipline, morale, morals, compassion, and love. The bible says that when it comes to Jesus, we are to stand out, we are not to be just here to blend in. Therefore, we are to keep our behavior excellent. Our lives as Christians is to be honest truthful people. Our lives as Christians is to bring glory to God. Our lives as Christians is to start everyday with Jesus and to continually keep glorifying God with our lives.","[{'type': 'ISBN_13', 'identifier': '9781664195110'}, {'type': 'ISBN_10', 'identifier': '1664195114'}]","{'text': True, 'image': False}",165.0,BOOK,['Religion'],NOT_MATURE,False,1.1.1.0.preview.2,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=rh9OEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=rh9OEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",en,http://books.google.nl/books?id=rh9OEAAAQBAJ&pg=PT142&dq=intitle:TWO+PEOPLE&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=rh9OEAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=rh9OEAAAQBAJ,,,,,
American Beauty,['Jules Tasca'],Dramatic Publishing,1994,,"[{'type': 'ISBN_10', 'identifier': '0871295024'}, {'type': 'ISBN_13', 'identifier': '9780871295026'}]","{'text': False, 'image': True}",36.0,BOOK,['Drama'],NOT_MATURE,False,0.3.4.0.preview.1,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=xNppsymaFJAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=xNppsymaFJAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",en,http://books.google.nl/books?id=xNppsymaFJAC&printsec=frontcover&dq=intitle:AMERICAN+BEAUTY&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=xNppsymaFJAC&dq=intitle:AMERICAN+BEAUTY&hl=&source=gbs_api,https://books.google.com/books/about/American_Beauty.html?hl=&id=xNppsymaFJAC,,,,,
A History of Malaysia,"['Barbara Watson Andaya', 'Leonard Y. Andaya']",University of Hawaii Press,2001-01-01,"Malaysia's multicultural society supports one of the most dynamic economies in Asia. This completely revised new edition of the standard text, first published twenty years ago, traces the history of the country from early times to the present day. The authors give particular attention to the evolution of Malay polities and their close links with indigenous groups who lived on the oceans and in the deep jungles of the region, from Sumatra to Borneo. This provides the background to the establishment of the Malay port of Melaka, which was conquered by the Portuguese in 1511, foreshadowing the establishment of a British colonial regime in the late nineteenth century. Although the large numbers of Chinese and Indian migrants who arrived to work in the tin and rubber industries contributed to economic expansion, colonial policies did not encourage communal interaction. The authors trace the process by which post-independence leaders in Malaya attempted to counter the legacy of ethnic hostility while answering Malay demands for an affirmation of their rights and a stronger commitment to Islam. The incorporation of the Borneo states of Sarawak and Sabah into the Federation of Malaysia in 1963 rendered the goal of welding a nation from areas that were geographically separated and culturally disparate even more problematic. The intense emotions attached to issues of race were made tragically evident in the racial riots of May 1969, which this book sees as a watershed in modern Malaysian history. As Malaysia enters the twenty-first century, the government is determined to oversee the transition to an economy focused on manufacturing and advanced technology, and to eliminate poverty and the association between occupation and race. While several recent studies deal with the impact of colonial rule and Malaysia's spectacular economic transition, this book is unique because it tracks developments from early times and identifies continuities as well as change. Combining the authors' specialist knowledge of precolonial sources with the most recent contemporary research, this new edition reinforces the position of A History of Malaysia position as a standard reference for all those interested in the historical processes which led to the emergence of this culturally varied and economically energetic country.","[{'type': 'ISBN_10', 'identifier': '0824824253'}, {'type': 'ISBN_13', 'identifier': '9780824824259'}]","{'text': False, 'image': True}",418.0,BOOK,['History'],NOT_MATURE,False,2.2.4.0.preview.1,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=OTDzzWjmEAwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=OTDzzWjmEAwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",en,http://books.google.nl/books?id=OTDzzWjmEAwC&printsec=frontcover&dq=intitle:MALAYSIA&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=OTDzzWjmEAwC&dq=intitle:MALAYSIA&hl=&source=gbs_api,https://books.google.com/books/about/A_History_of_Malaysia.html?hl=&id=OTDzzWjmEAwC,,,,,
Broome Stages,['Clemence Dane'],,1936,,"[{'type': 'OTHER', 'identifier': 'UOM:39015063920774'}]","{'text': False, 'image': False}",728.0,BOOK,,NOT_MATURE,False,1.6.2.0.preview.0,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=uzI1AAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=uzI1AAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",en,http://books.google.nl/books?id=uzI1AAAAMAAJ&q=intitle:BROOME+STAGES&dq=intitle:BROOME+STAGES&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=uzI1AAAAMAAJ&dq=intitle:BROOME+STAGES&hl=&source=gbs_api,https://books.google.com/books/about/Broome_Stages.html?hl=&id=uzI1AAAAMAAJ,,,,,
John Cabot,['Marian Rengel'],"The Rosen Publishing Group, Inc",2002-12-15,Examines the facts and theories surrounding the voyages taken to North America by the English explorer John Cabot in the late 1490s.,"[{'type': 'ISBN_10', 'identifier': '0823936260'}, {'type': 'ISBN_13', 'identifier': '9780823936267'}]","{'text': False, 'image': True}",118.0,BOOK,['Juvenile Nonfiction'],NOT_MATURE,False,0.3.6.0.preview.1,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=zsL1CiuX9nMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=zsL1CiuX9nMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",en,http://books.google.nl/books?id=zsL1CiuX9nMC&printsec=frontcover&dq=intitle:WESTWARD+PASSAGE&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=zsL1CiuX9nMC&dq=intitle:WESTWARD+PASSAGE&hl=&source=gbs_api,https://books.google.com/books/about/John_Cabot.html?hl=&id=zsL1CiuX9nMC,,,The Ongoing Search for a Westward Passage to Asia,,
The Harbourmaster,['William McFee'],,1935,,"[{'type': 'OTHER', 'identifier': 'OSU:32435012875092'}]","{'text': False, 'image': False}",456.0,BOOK,['Man-woman relationships'],NOT_MATURE,False,0.2.0.0.preview.0,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=xxNIx6H5IJMC&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=xxNIx6H5IJMC&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",en,http://books.google.nl/books?id=xxNIx6H5IJMC&q=intitle:THE+HARBOURMASTER&dq=intitle:THE+HARBOURMASTER&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=xxNIx6H5IJMC&dq=intitle:THE+HARBOURMASTER&hl=&source=gbs_api,https://books.google.com/books/about/The_Harbourmaster.html?hl=&id=xxNIx6H5IJMC,,,A Novel,,
